Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2017-09-24,,17-18,Guimaraes,Maritimo,1.0,1.0,H,0.33591065,0.2182392,0.4458502
2017-09-24,,17-18,Tondela,Sp Braga,1.0,1.0,A,0.38277438,0.24054642,0.37667915
2017-09-25,,17-18,Setubal,Boavista,0.0,0.0,D,0.36909226,0.33992267,0.2909851
2017-09-29,,17-18,Chaves,Tondela,1.0,1.0,D,0.31534263,0.31586355,0.36879376
2017-09-30,,17-18,Boavista,Feirense,1.0,0.0,H,0.39188266,0.30205962,0.3060577
2017-09-30,,17-18,Pacos Ferreira,Moreirense,2.0,1.0,H,0.44264314,0.30428177,0.25307512
2017-09-30,,17-18,Portimonense,Aves,1.0,1.0,D,0.3905869,0.3337753,0.27563778
2017-09-30,,17-18,Rio Ave,Setubal,0.0,0.0,H,0.45568055,0.2696938,0.27462566
2017-10-01,,17-18,Belenenses,Guimaraes,1.0,0.0,H,0.43632072,0.30611163,0.2575676
2017-10-01,,17-18,Maritimo,Benfica,0.0,1.0,D,0.30552727,0.27914307,0.4153297
2017-10-01,,17-18,Sp Braga,Estoril,2.0,0.0,H,0.58937734,0.22186317,0.18875949
2017-10-01,,17-18,Sp Lisbon,Porto,0.0,0.0,D,0.38459262,0.2830409,0.3323665
2017-10-20,,17-18,Estoril,Boavista,0.0,2.0,A,0.3130913,0.26564658,0.42126206
2017-10-21,,17-18,Feirense,Rio Ave,1.0,0.0,H,0.37928945,0.24334036,0.37737024
2017-10-21,,17-18,Porto,Pacos Ferreira,4.0,1.0,H,0.84678596,0.09562104,0.057593025
2017-10-21,,17-18,Setubal,Maritimo,0.0,1.0,H,0.378846,0.25445777,0.36669627
2017-10-22,,17-18,Aves,Benfica,0.0,1.0,A,0.12738653,0.1367519,0.7358616
2017-10-22,,17-18,Sp Lisbon,Chaves,3.0,0.0,H,0.81886,0.092467576,0.088672474
2017-10-22,,17-18,Tondela,Belenenses,0.0,0.0,H,0.4389172,0.21616757,0.34491524
2017-10-23,,17-18,Guimaraes,Portimonense,1.0,3.0,D,0.47618786,0.30642664,0.21738549
2017-10-23,,17-18,Moreirense,Sp Braga,0.0,0.0,A,0.22765227,0.22281285,0.54953486
2017-10-27,,17-18,Benfica,Feirense,1.0,0.0,H,0.8354929,0.10549784,0.05900922
2017-10-27,,17-18,Rio Ave,Sp Lisbon,0.0,0.0,A,0.12147424,0.16742915,0.7110966
2017-10-28,,17-18,Belenenses,Moreirense,1.0,0.0,H,0.46976548,0.27150756,0.25872698
2017-10-28,,17-18,Boavista,Porto,0.0,0.0,A,0.12366624,0.16031972,0.716014
2017-10-28,,17-18,Maritimo,Tondela,1.0,0.0,H,0.4227644,0.28706098,0.29017466
2017-10-29,,17-18,Aves,Guimaraes,1.0,2.0,A,0.38501063,0.19450876,0.42048058
2017-10-29,,17-18,Pacos Ferreira,Estoril,1.0,0.0,H,0.5883088,0.20882809,0.20286316
2017-10-29,,17-18,Sp Braga,Chaves,0.0,0.0,H,0.7481158,0.17676753,0.0751167
2017-10-30,,17-18,Portimonense,Setubal,3.0,1.0,H,0.45544735,0.28665963,0.25789306
2017-11-03,,17-18,Setubal,Aves,0.0,0.0,A,0.41018274,0.30246893,0.2873483
2017-11-04,,17-18,Estoril,Rio Ave,0.0,1.0,A,0.30804402,0.23135148,0.4606045
2017-11-04,,17-18,Moreirense,Portimonense,1.0,1.0,D,0.4067659,0.2751602,0.3180739
2017-11-04,,17-18,Porto,Belenenses,1.0,0.0,H,0.8482458,0.095785886,0.05596829
2017-11-04,,17-18,Tondela,Boavista,0.0,0.0,H,0.37694827,0.26540762,0.35764417
2017-11-05,,17-18,Chaves,Pacos Ferreira,1.0,1.0,H,0.44090122,0.25236225,0.30673653
2017-11-05,,17-18,Feirense,Maritimo,0.0,1.0,A,0.37208423,0.24464068,0.3832751
2017-11-05,,17-18,Guimaraes,Benfica,0.0,1.0,A,0.17217171,0.175335,0.6524933
2017-11-05,,17-18,Sp Lisbon,Sp Braga,0.0,0.0,D,0.67822284,0.17989963,0.14187755
2017-11-24,,17-18,Belenenses,Chaves,0.0,1.0,A,0.43406117,0.29451445,0.27142438
2017-11-25,,17-18,Aves,Porto,0.0,1.0,D,0.1137279,0.16226357,0.7240085
2017-11-25,,17-18,Boavista,Moreirense,1.0,0.0,H,0.5444703,0.24571742,0.20981227
2017-11-25,,17-18,Portimonense,Tondela,1.0,0.0,H,0.4020952,0.28157094,0.31633392
2017-11-26,,17-18,Benfica,Setubal,2.0,0.0,H,0.84761804,0.0925163,0.059865594
2017-11-26,,17-18,Maritimo,Estoril,0.0,0.0,D,0.49553737,0.33701706,0.16744563
2017-11-26,,17-18,Pacos Ferreira,Sp Lisbon,0.0,1.0,A,0.10816793,0.14237514,0.74945694
2017-11-27,,17-18,Rio Ave,Guimaraes,0.0,1.0,A,0.45463428,0.29395416,0.25141162
